timestamp,kwh,building
2024-01-01,560.28,Admin_Block
2024-01-02,664.44,Admin_Block
2024-01-03,373.64,Admin_Block
2024-01-04,471.02,Admin_Block
2024-01-05,573.08,Admin_Block
2024-01-06,476.95,Admin_Block
2024-01-07,670.17,Admin_Block
2024-01-08,767.39,Admin_Block
2024-01-09,565.16,Admin_Block
2024-01-10,458.65,Admin_Block
2024-01-11,576.28,Admin_Block
2024-01-12,557.58,Admin_Block
2024-01-13,558.89,Admin_Block
2024-01-14,455.51,Admin_Block
2024-01-15,755.53,Admin_Block
2024-01-16,555.59,Admin_Block
2024-01-17,453.91,Admin_Block
2024-01-18,435.49,Admin_Block
2024-01-19,447.16,Admin_Block
2024-01-20,449.82,Admin_Block
2024-01-21,478.36,Admin_Block
2024-01-22,579.55,Admin_Block
2024-01-23,586.45,Admin_Block
2024-01-24,630.56,Admin_Block
2024-01-25,643.31,Admin_Block
2024-01-26,658.97,Admin_Block
2024-01-27,646.90,Admin_Block
2024-01-28,652.00,Admin_Block
2024-01-29,762.39,Admin_Block
2024-01-30,678.33,Admin_Block
2024-01-31,698.35,Admin_Block
